nu1 nu2 nu3a nu3b nu4a nu4b J Ka Kc a/s E uncertainty transitions
0 0 0 0 0 0 13 3 11 s 1024.827019208 8.383e-04 16
0 0 0 0 0 0 13 2 11 a 1025.124421688 8.352e-04 12
0 0 0 0 0 0 13 3 11 a 1025.156995887 1.487e-03 11
0 1 0 0 0 0 4 3 1 s 1026.281474944 3.499e-04 10
0 1 0 0 0 0 4 3 2 s 1027.007424982 2.306e-04 12
0 0 0 0 0 0 12 6 7 s 1027.535135082 1.397e-03 12
0 0 0 0 0 0 12 6 7 a 1027.762913531 7.838e-04 13
0 1 0 0 0 0 4 2 2 a 1029.606023904 2.577e-04 11
0 1 0 0 0 0 5 0 5 s 1029.637430436 5.740e-04 6
0 1 0 0 0 0 5 1 5 s 1029.801641403 3.083e-04 8
0 0 0 0 0 0 12 6 6 s 1031.325519831 1.380e-03 10
0 0 0 0 0 0 12 6 6 a 1031.539661660 7.859e-04 13
0 1 0 0 0 0 4 3 2 a 1045.139729959 5.600e-04 9
0 1 0 0 0 0 4 3 1 a 1045.779825051 7.169e-04 10
0 1 0 0 0 0 5 0 5 a 1049.532762076 3.571e-04 8
0 1 0 0 0 0 5 1 5 a 1049.899769023 6.485e-04 5
0 1 0 0 0 0 5 1 4 s 1054.798638333 2.904e-04 13
0 1 0 0 0 0 4 4 1 s 1055.998349354 5.914e-04 7
0 1 0 0 0 0 4 4 0 s 1056.023099553 7.628e-04 6
0 1 0 0 0 0 5 2 4 s 1057.657959898 5.962e-04 8
0 0 0 0 0 0 11 9 3 s 1064.005570903 7.347e-04 5
0 0 0 0 0 0 11 9 2 s 1064.005779922 7.348e-04 5
0 0 0 0 0 0 11 9 3 a 1064.205365717 1.309e-03 5
0 0 0 0 0 0 11 9 2 a 1064.205421552 1.313e-03 5
0 1 0 0 0 0 5 2 3 s 1068.365453450 6.241e-04 8
0 1 0 0 0 0 4 4 1 a 1073.995061983 3.126e-04 9
0 1 0 0 0 0 4 4 0 a 1074.010513267 3.810e-04 8
0 1 0 0 0 0 5 1 4 a 1074.283864633 7.905e-04 7
0 0 0 0 0 0 12 7 6 s 1075.994138536 7.848e-04 14
0 1 0 0 0 0 5 2 4 a 1076.058136879 3.273e-04 9
0 0 0 0 0 0 12 7 6 a 1076.210514370 1.401e-03 13
