nu1 nu2 nu3a nu3b nu4a nu4b J Ka Kc a/s E uncertainty transitions
0 0 0 0 0 0 10 4 6 s 576.921817283 3.645e-04 38
0 0 0 0 0 0 10 4 6 a 577.047432951 6.926e-04 32
0 0 0 0 0 0 10 5 6 s 585.130630631 6.853e-04 31
0 0 0 0 0 0 10 5 6 a 585.242576224 3.646e-04 36
0 0 0 0 0 0 10 5 5 s 594.029443005 3.632e-04 39
0 0 0 0 0 0 10 5 5 a 594.145898198 6.859e-04 37
0 0 0 0 0 0 9 8 1 s 595.087308411 6.302e-04 29
0 0 0 0 0 0 9 8 2 s 595.087473278 3.358e-04 35
0 0 0 0 0 0 9 8 2 a 595.201303059 5.547e-04 35
0 0 0 0 0 0 9 8 1 a 595.201714399 3.511e-04 35
0 0 0 0 0 0 12 0 12 s 612.134413118 4.908e-04 19
0 0 0 0 0 0 12 1 12 s 612.134890925 1.325e-03 20
0 0 0 0 0 0 12 1 12 a 612.333256822 4.375e-04 20
0 0 0 0 0 0 12 0 12 a 612.333727310 1.276e-03 18
0 0 0 0 0 0 10 6 5 s 614.999864386 5.812e-04 35
0 0 0 0 0 0 10 6 5 a 615.094820542 2.613e-04 33
0 0 0 0 0 0 11 2 9 s 615.290985260 1.097e-03 32
0 0 0 0 0 0 11 3 9 s 615.324683471 3.459e-04 33
0 0 0 0 0 0 11 2 9 a 615.431383300 2.844e-04 30
0 0 0 0 0 0 11 3 9 a 615.465857163 8.960e-04 28
0 0 0 0 0 0 10 6 4 s 616.642000363 2.613e-04 37
0 0 0 0 0 0 10 6 4 a 616.739405691 5.977e-04 33
0 0 0 0 0 0 9 9 0 s 640.731500013 4.589e-04 24
0 0 0 0 0 0 9 9 1 s 640.731650481 2.777e-04 31
0 0 0 0 0 0 9 9 1 a 640.834685953 4.868e-04 27
0 0 0 0 0 0 9 9 0 a 640.834886714 3.095e-04 24
0 0 0 0 0 0 10 7 4 s 648.952594033 6.666e-04 34
0 0 0 0 0 0 10 7 3 s 649.013497286 2.364e-04 36
0 0 0 0 0 0 10 7 4 a 649.122359489 2.364e-04 39
0 0 0 0 0 0 10 7 3 a 649.183224786 5.280e-04 29
0 0 0 0 0 0 11 3 8 s 653.525992286 8.072e-04 35
0 0 0 0 0 0 11 3 8 a 653.650864130 2.966e-04 37
0 0 0 0 0 0 11 4 8 s 654.086733016 3.196e-04 31
0 0 0 0 0 0 11 4 8 a 654.211095151 9.512e-04 29
0 0 0 0 0 0 12 1 11 s 667.451439898 3.768e-04 24
0 0 0 0 0 0 12 2 11 s 667.452590447 1.392e-03 29
0 0 0 0 0 0 12 1 11 a 667.616303204 1.451e-03 24
